Tag No.,Measurement Flag,Measured Value,Estimate,Sigma,Gross Error Flag,Unit
Natural Gas from GAIL
PU_NS2b,2,30.14,30.14,0.3014,2,kg/cm2
C4H10_NS2b,0,0.0011,0.00114976115497,1.1e-05,2,xfrac
CH4_NS2b,0,0.2481,0.249816187387,0.002481,2,xfrac
N2_NS2b,0,0.00082,0.000825651915552,8.2e-06,2,xfrac
C5H12_NS2b,0,0.000139,0.000140368608989,1.39e-06,2,xfrac
CO2_NS2b,0,0.00032,0.000323599296096,3.2e-06,2,xfrac
C2H6_NS2b,0,0.01348,0.0135741544326,0.0001348,2,xfrac
H2_NS2b,0,0.01132,0.0116522594954,0.0001132,2,xfrac
C6H14_NS2b,0,9.5e-06,9.60035400295e-05,9.5e-08,2,xfrac
H2O_NS2b,0,0.7221,0.719956518728,0.007221,2,xfrac
C3H8_NS2b,0,0.00245,0.00246549544149,2.45e-05,2,xfrac
E-7-3 outlet
FU_NS2c,0,254.36,165.015556299,2.5436,2,KMol/HR
TU_NS2c,2,479.96,479.96,4.7996,2,C
PU_NS2c,2,30.14,30.14,0.3014,2,kg/cm2
C4H10_NS2c,0,0.0011,0.00114976115497,1.1e-05,2,xfrac
CH4_NS2c,0,0.2481,0.249816187387,0.002481,2,xfrac
N2_NS2c,0,0.00082,0.000825651915552,8.2e-06,2,xfrac
C5H12_NS2c,0,0.000139,0.000140368608989,1.39e-06,2,xfrac
CO2_NS2c,0,0.00032,0.000323599296096,3.2e-06,2,xfrac
C2H6_NS2c,0,0.01348,0.0135741544326,0.0001348,2,xfrac
H2_NS2c,0,0.01132,0.0116522594954,0.0001132,2,xfrac
C6H14_NS2c,0,9.5e-06,9.60035400295e-05,9.5e-08,2,xfrac
H2O_NS2c,0,0.7221,0.719956518728,0.007221,2,xfrac
C3H8_NS2c,0,0.00245,0.00246549544149,2.45e-05,2,xfrac
Inlet to E-6-3
FU_NS2d,0,254.36,247.591465083,2.5436,2,KMol/HR
TU_NS2d,2,479.96,479.96,4.7996,2,C
PU_NS2d,2,30.14,30.14,0.3014,2,kg/cm2
C4H10_NS2d,0,0.0011,0.00114976115497,1.1e-05,2,xfrac
CH4_NS2d,0,0.2481,0.249816187387,0.002481,2,xfrac
N2_NS2d,0,0.00082,0.000825651915552,8.2e-06,2,xfrac
C5H12_NS2d,0,0.000139,0.000140368608989,1.39e-06,2,xfrac
CO2_NS2d,0,0.00032,0.000323599296096,3.2e-06,2,xfrac
C2H6_NS2d,0,0.01348,0.0135741544326,0.0001348,2,xfrac
H2_NS2d,0,0.01132,0.0116522594954,0.0001132,2,xfrac
C6H14_NS2d,0,9.5e-06,9.60035400295e-05,9.5e-08,2,xfrac
H2O_NS2d,0,0.7221,0.719956518728,0.007221,2,xfrac
C3H8_NS2d,0,0.00245,0.00246549544149,2.45e-05,2,xfrac
Pre-Reformer feed after getting heated in the furnace
FU_NS2,0,254.36,247.591465083,2.5436,2,KMol/HR
TRC4167,2,479.96,479.96,4.7996,2,C
PI4103,2,30.14,30.14,0.3014,2,kg/cm2
C4H10_NS2,0,0.0011,0.00114976115497,1.1e-05,2,xfrac
CH4_NS2,0,0.2481,0.249816187387,0.002481,2,xfrac
N2_NS2,0,0.00082,0.000825651915552,8.2e-06,2,xfrac
C5H12_NS2,0,0.000139,0.000140368608989,1.39e-06,2,xfrac
CO2_NS2,0,0.00032,0.000323599296096,3.2e-06,2,xfrac
C2H6_NS2,0,0.01348,0.0135741544326,0.0001348,2,xfrac
H2_NS2,0,0.01132,0.0116522594954,0.0001132,2,xfrac
C6H14_NS2,0,9.5e-06,9.60035400295e-05,9.5e-08,2,xfrac
H2O_NS2,0,0.7221,0.719956518728,0.007221,2,xfrac
C3H8_NS2,0,0.00245,0.00246549544149,2.45e-05,2,xfrac
Pre-Reformer outlet1
FU_NS3,0,246.5,267.607602959,2.5,2,KMOl/HR
TI3119,2,432.8,432.8,4.3,2,C
PI4132,2,29.1,29.1,0.291,2,kg/cm2
CO_NS3,0,0.0373,0.0373982982071,0.000373,2,xfrac
N2_NS3,0,0.00082,0.000763895962446,8.2e-06,2,xfrac
CO2_NS3,0,0.00032,0.000299395170146,3.2e-06,2,xfrac
H2_NS3,0,0.102,0.101699700465,0.00102,2,xfrac
H2O_NS3,0,0.63,0.628707923354,0.0063,2,xfrac
CH4_NS3,0,0.23,0.231130786841,0.0023,2,xfrac
Pre-Reformer outlet2
FU_NS3a,0,246.5,258.649516664,2.5,2,KMOl/HR
TI3119a,2,432.8,432.8,4.3,2,C
PI4132a,2,29.1,29.1,0.291,2,kg/cm2
CO_NS3a,0,0.00024,0.000287352469444,2.4e-06,2,xfrac
N2_NS3a,0,0.0011,0.000790352791131,1.1e-05,2,xfrac
CO2_NS3a,0,0.01792,0.0213989289769,0.0001792,2,xfrac
H2_NS3a,0,0.0613,0.0743600300596,0.000613,2,xfrac
H2O_NS3a,0,0.65978,0.646710511667,0.006597,2,xfrac
CH4_NS3a,0,0.25996,0.256452824036,0.0025996,2,xfrac
Steam to be mixed with the Pre-Reformer outlet
FIC3107,1,1144.93,1141.33962784,13.2958457982,0,KG/HR
TU_ST2,2,460.0,460.0,4.3,2,C
PU_ST2,2,31.58,31.58,0.316,2,kg/cm2
Feed to Steam Reformer before getting heated in the furnace
FU_NS4,0,327.0,322.057273766,3.27,2,KMOl/HR
TU_NS4,2,411.97,411.97,4.1197,2,C
PU_NS4,2,28.5,28.5,0.3,2,kg/cm2
CO_NS4,0,0.000194,0.00023077751502,1.94e-06,2,xfrac
N2_NS4,0,0.00063,0.000634745382489,6.3e-06,2,xfrac
CO2_NS4,0,0.0144,0.0171858333528,0.000144,2,xfrac
H2_NS4,0,0.0494,0.059719768503,0.000494,2,xfrac
H2O_NS4,0,0.7258,0.716267375888,0.007258,2,xfrac
CH4_NS4,0,0.20947,0.205961499358,0.0020947,2,xfrac
Feed to Steam Reformer after getting heated in the furnace
FU_NS5,0,327.0,322.057273766,3.27,2,KMOl/HR
TIC3124,2,600.0,600.0,6.0,2,C
PI3117,2,28.9,28.9,0.29,2,kg/cm2
CO_NS5,0,0.000194,0.00023077751502,1.94e-06,2,xfrac
N2_NS5,0,0.00063,0.000634745382489,6.3e-06,2,xfrac
CO2_NS5,0,0.0144,0.0171858333528,0.000144,2,xfrac
H2_NS5,0,0.0494,0.059719768503,0.000494,2,xfrac
H2O_NS5,0,0.7258,0.716267375888,0.007258,2,xfrac
CH4_NS5,0,0.20947,0.205961499358,0.0020947,2,xfrac
 E-7-2 ByPass line
FU_NS5a,0,327.0,107.429282924,3.27,2,KMOl/HR
TU_NS5a,2,600.0,600.0,6.0,2,C
PU_NS5a,2,28.9,28.9,0.29,2,kg/cm2
CO_NS5a,0,0.000194,0.00023077751502,1.94e-06,2,xfrac
N2_NS5a,0,0.00063,0.000634745382489,6.3e-06,2,xfrac
CO2_NS5a,0,0.0144,0.0171858333528,0.000144,2,xfrac
H2_NS5a,0,0.0494,0.059719768503,0.000494,2,xfrac
H2O_NS5a,0,0.7258,0.716267375888,0.007258,2,xfrac
CH4_NS5a,0,0.20947,0.205961499358,0.0020947,2,xfrac
Inlet to E-7-2
FU_NS5b,0,327.0,214.627990842,3.27,2,KMOl/HR
TU_NS5b,2,600.0,600.0,6.0,2,C
PU_NS5b,2,28.9,28.9,0.29,2,kg/cm2
CO_NS5b,0,0.000194,0.00023077751502,1.94e-06,2,xfrac
N2_NS5b,0,0.00063,0.000634745382489,6.3e-06,2,xfrac
CO2_NS5b,0,0.0144,0.0171858333528,0.000144,2,xfrac
H2_NS5b,0,0.0494,0.059719768503,0.000494,2,xfrac
H2O_NS5b,0,0.7258,0.716267375888,0.007258,2,xfrac
CH4_NS5b,0,0.20947,0.205961499358,0.0020947,2,xfrac
Outlet of E-7-2
FU_NS5c,0,327.0,214.627990842,3.27,2,KMOl/HR
TU_NS5c,2,600.0,600.0,6.0,2,C
PU_NS5c,2,28.9,28.9,0.29,2,kg/cm2
CO_NS5c,0,0.000194,0.00023077751502,1.94e-06,2,xfrac
